MatchNumber,first_half_end,first_half_min,first_half_sec,second_half_min,second_half_sec
1,47,9,25,68,31
2,47,8,44,57,36
3,47,8,22,60,17
4,46,15,29,68,26
5,46,5,35,61,26
6,48,8,16,68,34
7,46,15,13,69,46
8,47,7,34,64,10
9,47,7,45,63,56
10,46,7,26,64,30
11,47,8,8,56,43
12,46,5,18,61,6
13,46,7,9,57,56
14,46,7,49,61,3
15,46,6,25,55,26
16,46,13,16,66,46
17,46,7,28,63,53
18,47,8,19,62,24
19,47,8,2,60,56
20,46,6,24,56,1
21,50,3,52,65,3
22,46,13,56,67,18
23,46,5,43,59,50
24,49,5,39,56,59
25,47,7,53,62,36
26,49,8,0,65,41
27,46,4,32,59,18
28,47,15,21,69,30
29,46,7,42,60,55
30,47,7,15,60,18
31,45,10,38,63,22
32,46,4,39,61,35
33,47,15,28,70,36
34,46,9,57,63,32
35,46,11,2,65,30
36,49,7,26,66,7
37,45,9,42,62,6
38,46,4,52,60,11
39,46,14,5,67,41
40,45,9,43,60,57
41,46,4,56,53,12
42,48,5,49,64,8
43,46,6,20,59,16
44,46,7,42,59,45
45,46,13,36,65,47
46,46,9,25,62,27
48,47,6,46,59,22
49,47,9,45,64,40
50,47,4,31,57,31
51,46,10,22,64,4
52,49,3,9,53,40
53,46,3,39,56,13
54,47,5,52,52,27
55,46,5,39,58,33
56,49,10,19,64,13
57,46,5,14,61,35
58,48,9,56,61,49
59,47,6,16,59,57
60,46,12,28,64,52
61,49,9,51,63,22
62,46,6,23,61,5
63,46,13,41,67,53
64,46,9,55,13,29
65,47,10,4,63,0
66,46,5,56,58,23
67,47,4,4,57,27
68,46,6,2,59,53
69,46,9,53,62,8
70,46,6,46,59,40
71,47,13,34,67,24
72,46,11,11,65,15
73,47,6,7,58,32
74,47,10,6,63,26
75,46,5,47,58,39
76,46,10,37,64,40
77,52,12,29,66,46
78,48,5,46,65,27
79,46,5,56,59,49
80,46,11,59,67,21
81,50,12,34,66,30
82,47,3,55,58,57
83,48,5,48,58,47
84,47,12,25,69,16
85,47,13,46,67,22
86,46,6,14,60,43
87,46,13,37,67,0
88,46,12,55,66,10
89,46,5,54,58,31
90,47,7,38,60,13
91,46,6,15,59,52
92,47,6,2,58,58
93,48,15,32,69,54
94,54,10,40,67,41
95,47,8,46,70,13
96,47,6,3,59,18
97,46,12,41,66,28
98,47,6,21,58,52
99,46,13,33,67,30
100,46,7,34,60,58
101,46,12,52,56,45
102,46,6,3,58,18
103,47,9,6,63,19
104,47,5,58,59,17
105,46,5,7,54,29
106,47,6,4,57,50
107,48,14,22,68,25
108,45,4,3,59,32
109,46,13,23,66,40
110,46,6,48,58,26
111,46,8,1,60,49
112,45,6,17,58,4
113,46,5,50,58,10
114,46,7,44,61,28
115,46,7,8,58,53
116,47,12,51,69,15
117,46,5,58,59,7
118,46,7,7,60,50
119,46,13,53,66,44
120,46,10,38,64,14
121,47,6,25,60,32
122,46,6,32,59,13
123,47,7,52,61,22
124,46,8,4,62,13
125,48,14,3,69,21
126,47,3,31,59,15
127,46,14,6,68,26
128,49,6,20,58,38
129,46,14,58,69,4
130,46,14,56,57,43
131,46,10,54,62,27
132,46,7,38,60,12
133,48,10,51,55,4
134,46,10,47,71,54
135,47,13,52,66,52
136,48,9,53,63,58
137,46,7,11,61,41
138,46,7,22,59,14
139,46,6,33,59,38
140,46,10,1,63,30
141,48,6,30,58,11
142,46,13,38,70,5
143,46,6,36,59,18
144,46,9,40,61,54
145,47,9,50,63,1
146,46,9,58,64,17
147,47,6,6,60,17
148,46,13,43,68,45
149,47,9,43,63,58
150,47,6,6,59,37
